"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Sephs2",2.87489583503127e-44,0.33911102212011,0.78,0.482,4.94309589875277e-40
"Atp6ap1",3.58894757540008e-44,-0.41218004900452,0.948,0.956,6.1708364611429e-40
"Pf4",5.37523508334383e-44,-2.08742688308758,0.489,0.719,9.24217920230138e-40
"Adgrl2",6.30188733900683e-44,-0.462476767347268,0.297,0.525,1.08354650906883e-39
"Bin2",6.59952597988718e-44,0.333848819808737,0.753,0.452,1.1347224969818e-39
"Mgst1",1.87276978273886e-43,0.404611129909787,0.954,0.82,3.2200403644412e-39
"Uba52",2.75173630226933e-43,0.377831650501117,0.833,0.617,4.73133539812188e-39
"Ear2",3.92638943374033e-43,0.921302665600539,0.524,0.266,6.75103399237312e-39
"Fxyd5",4.6807746320344e-43,0.430307314531963,0.999,0.99,8.04812390231995e-39
"Hopx",6.41366097605786e-43,0.312140466972409,0.551,0.259,1.10276486822339e-38
"Nampt",7.12277517720956e-43,-0.479821026761089,0.837,0.912,1.22468996396941e-38
"Hsp90ab1",7.78414102226778e-43,0.333843070909596,1,0.995,1.33840520736872e-38
"Timp2",1.48262013855679e-42,-0.535620663703199,0.898,0.917,2.54921706623455e-38
"Cdk6",1.60927726724663e-42,-0.494439417662719,0.622,0.747,2.76699133330385e-38
"Cdkn1b",2.59839519459912e-42,0.302156217724987,0.609,0.299,4.46768069759373e-38
"Stk10",3.81189695323883e-42,0.290768647169316,0.688,0.367,6.55417562139885e-38
"Eif4b",1.05619709364538e-41,0.340085236525953,0.912,0.734,1.81602528281386e-37
"Jun",1.28666847037025e-41,-0.510443027469624,0.628,0.767,2.21229776795461e-37
"Fgd4",1.84654037682757e-41,0.315427732195863,0.696,0.396,3.17494152391732e-37
"Spp1",1.1786649831435e-40,-0.697737702417738,0.837,0.965,2.02659657201694e-36
"Ccl6",2.19982515017585e-40,-0.449463067725782,1,0.999,3.78237936321236e-36
"Atp6v1g1",2.40368081062019e-40,-0.322802572131151,0.993,0.994,4.13288878578036e-36
"Lgmn",2.67767888854422e-40,-0.862421998152745,0.906,0.931,4.60400108096293e-36
"Arpc5",3.55355470969951e-40,-0.307916675546501,0.989,0.993,6.10998196785734e-36
"Lmo4",4.61827129405028e-40,0.461580076252736,0.834,0.573,7.94065566299005e-36
"Klk1b9",8.64548269621159e-40,0.346429629294373,0.195,0.033,1.48650429478662e-35
"Rab7",1.05468896377259e-39,-0.349773719365316,0.99,0.991,1.8134322043106e-35
"Ccl12",1.18903024742092e-39,-0.769138763553657,0.04,0.241,2.04441860741554e-35
"Cxcr4",1.2629845292171e-39,0.342997589213344,0.501,0.229,2.17157559953589e-35
"Calm3",1.54146603060409e-39,-0.355347945653744,0.96,0.967,2.65039669302066e-35
"Anxa2",2.81124943542909e-39,-0.3784737816904,0.98,0.983,4.83366227927677e-35
"Osbpl8",3.96019984316921e-39,-0.431538032158021,0.912,0.943,6.80916761034514e-35
"Ap2m1",6.02919959874558e-39,-0.368668565477548,0.922,0.946,1.03666057900831e-34
"Rtraf",8.29981153966368e-39,0.329575048234091,0.958,0.846,1.42706959612977e-34
"Plek",1.23673735358988e-38,-0.466701437039154,0.896,0.964,2.12644620576244e-34
"Ifngr1",1.6554873240515e-38,0.547547046752454,0.901,0.723,2.84644490497415e-34
"Fth1",5.2016088460791e-38,-0.305083299818198,1,1,8.9436462499484e-34
"Anxa4",6.33633420464154e-38,-0.408549764695933,0.948,0.96,1.08946930314607e-33
"Btg1",7.7266390260847e-38,0.436841469776151,0.991,0.978,1.328518314145e-33
"Rab1a",8.53551267401314e-38,-0.374763479792063,0.914,0.947,1.46759604916982e-33
"Cdk18",9.73224412101346e-38,-0.425852213416829,0.283,0.476,1.67336205416705e-33
"Plau",1.27108295759098e-37,-0.413861543843694,0.126,0.34,2.18550003728193e-33
"Scimp",1.36291468176004e-37,-0.399121807721235,0.241,0.46,2.34339550381822e-33
"Upp1",1.7008402489404e-37,-0.463397231895365,0.386,0.582,2.92442472402813e-33
"Lyz2",2.44644720731372e-37,0.489470523686251,1,1,4.2064213282552e-33
"Il7r",6.60705105697223e-37,-0.623881084070952,0.57,0.737,1.13601635873581e-32
"Rpl39",7.13163839401006e-37,0.282315494520021,0.999,0.996,1.22621390546609e-32
"Rpl36al",8.43651008545078e-37,0.331854221451456,0.907,0.697,1.45057354409241e-32
"Cux1",9.85798573838591e-37,-0.398440044802825,0.733,0.793,1.69498206785807e-32
"Ctsl",1.13499289902928e-36,-0.739408836556415,0.978,0.994,1.95150679059094e-32
"Plxna1",1.15125527757078e-36,-0.413455947021355,0.759,0.822,1.9794683242552e-32
"Rpl31",1.19314981518713e-36,0.277706433314938,0.991,0.976,2.05150179223274e-32
"Ifrd1",1.37884627262444e-36,-0.482477439876199,0.531,0.662,2.37078828115047e-32
"Klf6",1.84400536517891e-36,-0.404309197619098,0.937,0.949,3.17058282488862e-32
"Il10ra",2.12843956290454e-36,0.313239393448951,0.722,0.434,3.65963898445807e-32
"Sdcbp",2.17574042486116e-36,-0.353837017372676,0.991,0.994,3.74096808650627e-32
"Sirpa",2.59923414444488e-36,-0.351826032285391,0.997,0.998,4.46912318795852e-32
"Cltc",4.19174282455099e-36,-0.36759962935698,0.977,0.976,7.20728261253296e-32
