"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Slc43a2",5.17831759728751e-110,0.462000590209184,0.887,0.508,8.90359927677615e-106
"Cd164",8.39022926771598e-110,0.470609752436955,0.821,0.407,1.44261602029109e-105
"Hnrnpab",9.48257272365784e-110,0.469839439076116,0.925,0.731,1.63043355410573e-105
"Fdps",1.00544547048105e-109,0.518282603714613,0.76,0.337,1.72876294194511e-105
"Tmem50b",2.19383120126313e-109,0.384985256470992,0.815,0.417,3.77207336745182e-105
"Epsti1",2.48047441815897e-109,-1.21454556558611,0.373,0.711,4.26492771458253e-105
"Ubc",3.46613892277697e-109,-0.403387725369972,0.98,0.969,5.95967926382272e-105
"Fas",4.43083645926328e-109,-0.384354702012719,0.11,0.509,7.61838020805729e-105
"Plekhg2",5.26589447907273e-109,-0.358440639732236,0.12,0.528,9.05417896731766e-105
"Sdcbp",8.25923795331652e-109,0.434312089458906,0.944,0.658,1.42009337369324e-104
"Tspan18",1.04677314832122e-108,0.420618541792922,0.465,0.035,1.7998217512235e-104
"Il17ra",1.29655315785084e-108,0.310545399115877,0.593,0.134,2.22929349960873e-104
"Tram1",1.58969382125951e-108,0.358858218576489,0.845,0.462,2.73331955627359e-104
"Mpeg1",2.84041738791666e-108,0.620510900814472,0.852,0.423,4.8838136567839e-104
"Slfn2",3.15602355899759e-108,0.483766339448255,0.982,0.743,5.42646690734046e-104
"Slc27a3",3.19357860129474e-108,-0.393014704109621,0.071,0.451,5.49103904706618e-104
"Plcb2",4.07482532214129e-108,0.375559585231995,0.808,0.355,7.00625465888974e-104
"Ptk2b",1.02465244825174e-107,0.39958958034361,0.816,0.455,1.76178741952404e-103
"Il7r",2.51313416643326e-107,-0.725956118636587,0.55,0.849,4.32108288576535e-103
"Vsir",4.73972097384644e-107,0.335435100275467,0.621,0.151,8.14947624243157e-103
"Ccnd3",5.73179675803854e-107,0.452093164665599,0.874,0.574,9.85525134577146e-103
"Lims1",5.77813536222074e-107,0.374912444397952,0.836,0.49,9.93492594180234e-103
"Hint1",8.0116546851541e-107,0.365232182118843,0.991,0.917,1.3775239065654e-102
"Fam32a",1.87496535253324e-106,-0.532988582022681,0.761,0.879,3.22381542714566e-102
"Pag1",2.21834880380512e-106,0.258668487786048,0.517,0.071,3.81422893326252e-102
"Fli1",2.36245432730458e-106,0.283586714518534,0.662,0.198,4.06200397036749e-102
"Cd68",2.45642625541847e-106,0.494161390275743,0.763,0.31,4.22357930356651e-102
"Rassf3",2.97515221834888e-106,-0.487178711711351,0.404,0.751,5.11547672422907e-102
"Atp2a2",3.23167266811534e-106,0.348390757219124,0.726,0.3,5.55653798555752e-102
"Crip1",3.55497490683584e-106,-0.852290326869674,0.846,0.942,6.11242385481354e-102
"Celf2",4.19563468429119e-106,0.400934601696428,0.89,0.523,7.21397427617028e-102
