"","wt_naive_p_val","wt_naive_avg_logFC","wt_naive_pct.1","wt_naive_pct.2","wt_naive_p_val_adj","ko_naive_p_val","ko_naive_avg_logFC","ko_naive_pct.1","ko_naive_pct.2","ko_naive_p_val_adj","max_pval","minimump_p_val"
"Selenom",0.024863962977981,0.45856650878015,0.143,0.036,1,1.65743602597896e-07,0.828060212920194,0.25,0.081,0.00284979550306823,0.024863962977981,3.31487177724851e-07
"Zwint",0.0385860263615278,0.377503225909917,0.571,0.453,1,1.74364705425737e-07,0.378810674026854,0.562,0.313,0.00299802674509012,0.0385860263615278,3.48729380448423e-07
"Rbms1",0.00394707555936087,-0.667104973178771,0.643,0.834,1,1.79223376679033e-07,-0.561830946689759,0.703,0.837,0.00308156673861929,0.00394707555936087,3.58446721237047e-07
"Rgl1",0.0262816272580722,-0.322137726261172,0,0.267,1,1.86376859395096e-07,-0.691082479335382,0.156,0.458,0.00320456372043928,0.0262816272580722,3.72753684053858e-07
"Plxnc1",0.000244902864106292,-0.489086183490402,0,0.538,1,1.97390048695108e-07,-0.462317146354003,0.078,0.388,0.00339392449726368,0.000244902864106292,3.94780058427384e-07
"Tyrobp",0.270932008027767,0.520745556032989,0.929,0.945,1,2.09696986743261e-07,0.492716999168866,1,0.963,0.00360552999006363,0.270932008027767,4.19393929513697e-07
"Myof",0.00738030102654953,-0.625401172288938,0.071,0.438,1,2.14471130280063e-07,-0.71295214419167,0.125,0.435,0.00368761661403541,0.00738030102654953,4.28942214562261e-07
"Ccr5",0.0018532788887011,-0.752056726855586,0.071,0.526,1,2.22485067386725e-07,-0.749336042725692,0.172,0.468,0.00382540824864735,0.0018532788887011,4.44970085273845e-07
"Ccl2",0.640283817755956,-0.471984487087404,0.143,0.186,1,2.24648777899448e-07,-1.38895180679476,0.281,0.577,0.00386261108720311,0.640283817755956,4.49297505331823e-07
"Cmtm7",0.00251981929361051,0.845782829256613,0.786,0.757,1,2.25283075380208e-07,0.575733627532229,0.766,0.63,0.0038735171980873,0.00251981929361051,4.50566100007952e-07
"March1",0.000657213153449625,-0.466382030195585,0,0.49,1,2.27735152684891e-07,-0.522008494254425,0.094,0.401,0.00391567821526402,0.000657213153449625,4.55470253506483e-07
"Ints6l",7.04818345492924e-05,0.650444016748352,0.571,0.231,1,2.32797936563545e-07,0.369011190863351,0.359,0.149,0.00400272772127359,7.04818345492924e-05,4.6559581893221e-07
"Tuba4a",0.086146135797513,0.53479042309343,0.571,0.478,1,2.42581484386245e-07,0.532871552228535,0.625,0.399,0.0041709460425371,0.086146135797513,4.85162909926714e-07
"Csf2rb2",0.330527288611157,0.322152269499485,0.786,0.691,1,2.569203391419e-07,0.640771631317685,0.812,0.604,0.00441748831120582,0.330527288611157,5.13840612275739e-07
"Atp6v1b2",0.0154095306134705,-0.502042489960289,0.357,0.735,1,2.5826306695481e-07,-0.565238344186435,0.375,0.657,0.00444057517322099,0.0154095306134705,5.16526067209807e-07
"Reep3",0.00490565256862165,-0.502175732796954,0.357,0.729,1,2.58453436194452e-07,-0.509336159538965,0.406,0.673,0.00444384838192741,0.00490565256862165,5.16906805590725e-07
"Itm2c",0.202001749601344,0.471431106505183,0.714,0.631,1,2.73534934765481e-07,0.556962263752133,0.672,0.438,0.00470315966835768,0.202001749601344,5.47069794709601e-07
"Fnip2",0.0082818556045843,-0.522629077213951,0.071,0.427,1,2.85653545821505e-07,-0.645256460103566,0.219,0.526,0.00491152706685496,0.0082818556045843,5.71307010045062e-07
"Cenpf",0.198174089188219,0.474051987574897,0.214,0.112,1,2.93913400829737e-07,0.335499189569058,0.25,0.077,0.0050535470138665,0.198174089188219,5.87826715274387e-07
"Crlf2",0.000143547078293539,0.9914624294745,0.857,0.665,1,3.0040482946473e-07,0.425948746467694,0.766,0.533,0.00516516063781656,0.000143547078293539,6.00809568686398e-07
"Ikbkb",0.0141372553777217,0.412226252338744,0.786,0.603,1,3.01033868914856e-07,0.347228785680668,0.656,0.418,0.00517597634212203,0.0141372553777217,6.02067647208322e-07
"Plxna1",0.00540083894437185,-0.377488824484542,0.071,0.449,1,3.03796740366116e-07,-0.462789635971474,0.078,0.39,0.005223481153855,0.00540083894437185,6.07593388439773e-07
"Ccdc12",0.158224968095494,0.281567736589169,0.786,0.764,1,3.09155826649057e-07,0.413846937246718,0.781,0.578,0.00531562528340388,0.158224968095494,6.18311557720788e-07
"Sgpl1",0.000938014677168661,-0.571629456381649,0.143,0.631,1,3.24161096738171e-07,-0.573073159793535,0.344,0.602,0.00557362589731612,0.000938014677168661,6.48322088395927e-07
"Itgax",0.0284901101954514,-0.434997802164664,0.143,0.48,1,3.34306245554285e-07,-0.745447045638494,0.062,0.364,0.00574806158606038,0.0284901101954514,6.68612379347904e-07
